record_id,seq_length,viennarna_Tm,viennarna_hill_coeff,viennarna_amplitude,viennarna_mean_unpaired_prob,viennarna_sd_pair_prob_10C,viennarna_sd_pair_prob_80C,viennarna_MFE,viennarna_max_loop_length,viennarna_gc_content,viennarna_dangles_model,viennarna_fit_status
sample_0,246,83.35649441609591,1.461696941352232,0.13165680834980475,0.3801126710695274,0.4827741824640464,0.49871764770916627,-94.5999984741211,7,0.6869918699186992,2,ok
sample_1,266,94.99963075534767,1.0885732940744703,0.222532612600279,0.3852016992545381,0.44548567511643017,0.4665949240797479,-115.80000305175781,6,0.6090225563909775,2,ok
sample_2,174,94.99999977636956,4.909439862642126,0.02754876568709887,0.425188598006388,0.0006896063866952184,0.002195350148732822,-48.70000076293945,9,0.5114942528735632,2,ok
sample_3,245,67.01841551183499,19.999999999999996,0.5088428840403795,0.4354760154179903,0.23840354028574226,0.2449467883873401,-62.0,18,0.40816326530612246,2,ok
sample_4,417,45.13173014539535,7.8140115276682955,0.4709626607966687,0.3581928564879446,0.554728686209777,0.8603625442764052,-159.1999969482422,9,0.5731414868105515,2,ok
sample_5,302,47.57182624763574,16.169668451932903,-0.04690282818962377,0.38490512368642826,0.9722376329759124,0.9245624719667771,-105.9000015258789,13,0.5165562913907285,2,ok
sample_6,382,47.28296190109678,6.085934911836349,0.4823096651155078,0.4003412064459874,0.4414448954023343,0.6979351325248734,-132.1999969482422,17,0.5706806282722513,2,ok
sample_7,258,66.95825925087065,6.660539006818152,0.3366208707378307,0.37681887924148144,0.32021257328955255,0.3853523561698423,-101.0999984741211,7,0.5813953488372093,2,ok
sample_8,257,33.5463999259074,5.233010467382689,0.37816644402762184,0.4219837390043516,0.6804434760493805,0.7958234877208819,-55.0,10,0.4591439688715953,2,ok
sample_9,255,56.34037471589541,2.9213475342757316,0.44892601404859217,0.46317829951968675,0.4830556411208663,0.597889726372077,-48.0,13,0.3803921568627451,2,ok
sample_10,253,94.99999925749214,5.322055551504098,0.05066680029624138,0.386469023456955,0.0007514582294052552,0.0030563595516988618,-98.5,9,0.5573122529644269,2,ok
sample_11,242,45.56633775971515,6.355255133478598,0.11521813954740157,0.4415145226122701,0.5245225168774039,0.5887162833380729,-88.69999694824219,19,0.6942148760330579,2,ok
sample_12,259,52.184538071213474,14.878223858591927,0.16966326986924113,0.640055739327741,0.4103232330477248,0.5235239683641509,-17.799999237060547,24,0.3204633204633205,2,ok
sample_13,255,69.72061198763545,4.157100887375723,0.41598989584632806,0.38486915232857505,0.3004755457888135,0.385644878191056,-95.4000015258789,8,0.5764705882352941,2,ok
sample_14,260,57.154783985038556,9.85129906555064,0.3462775315951168,0.3392672904829452,0.4092670404742315,0.545387375805819,-130.89999389648438,8,0.7346153846153847,2,ok
sample_15,430,69.91671577188514,5.649732477031976,0.6300329345615469,0.3873669618432509,0.09344007117182748,0.20714279669901475,-148.3000030517578,8,0.5465116279069767,2,ok
sample_16,62,77.09415096199395,3.630716388432866,0.11706332416493764,0.39482545217287535,0.06455584322042483,0.08349918761771531,-21.399999618530273,8,0.5483870967741935,2,ok
sample_17,241,75.1052190336214,0.8451833850612565,0.8845165349521866,0.4579923585482605,0.6145271353451449,0.6855118770274792,-47.400001525878906,17,0.3983402489626556,2,ok
sample_18,59,86.01602019291856,1.6612564320247951,0.3863364020289788,0.5256768291771403,0.5783987105172856,0.6270593742226325,-9.5,11,0.3559322033898305,2,ok
sample_19,415,30.68360371226775,8.50266729256346,0.48026941085250074,0.3853698545538181,0.4276630992588397,0.5057831885387597,-145.8000030517578,18,0.563855421686747,2,ok
sample_20,248,44.279873303652415,7.799846515891326,0.1994742437813386,0.4862848569420488,0.6961353273380784,0.8251099348309419,-40.900001525878906,17,0.3870967741935484,2,ok
sample_21,245,61.570352508433565,19.999999999999805,0.5557634613648332,0.46891347112910975,0.6516143528064327,0.6829947337452665,-44.900001525878906,16,0.34285714285714286,2,ok
sample_22,151,42.187340061252556,15.700388856080826,-0.01406521405075567,0.4315526499680405,0.2922964984140899,0.2801864708050945,-41.79999923706055,9,0.5231788079470199,2,ok
sample_23,148,94.99964106369386,6.334035343909297,0.042216870338770196,0.3050230716147172,0.5001106690984751,0.5012986100841307,-67.4000015258789,5,0.6216216216216216,2,ok
sample_24,435,43.8682962956966,2.589063852066126,0.5721871207837218,0.36430828531998355,0.4148952984008013,0.5583970960236037,-153.1999969482422,10,0.5448275862068965,2,ok
sample_25,358,50.70814543273115,19.999999999999996,-0.02378819618858119,0.4004336623162738,0.49637321670697354,0.4744378935243967,-127.69999694824219,9,0.5446927374301676,2,ok
sample_26,395,73.47300091416145,3.2694305526073846,0.2972756068322896,0.37591593792979866,0.6057288783921954,0.6602980257823369,-143.39999389648438,11,0.529113924050633,2,ok
