rfamseq_acc,seq_start,seq_end,label,viennarna_mfe_zscore,viennarna_delta_P_RBS,viennarna_delta_delta_G,viennarna_ensemble_diversity,viennarna_mean_positional_entropy,viennarna_mfe_zscore_shuffle_mode,viennarna_P_open_RBS_37,viennarna_P_open_RBS_55
AAMY01000002.1,59728,59826,1,-3.944670948989954,0.1046250132987755,17.710002899169922,9.576107571478078,0.4407153198555161,dinuc,0.4348420090324438,0.5394670223312193
AB255436.1,46891,46833,1,-0.8934174233808001,0.0286174508050202,8.329998970031738,7.478844224601992,0.5182155182172781,dinuc,0.3829745869651461,0.4115920377701663
ABCK01000003.1,13674,13304,1,-1.84035069362198,0.0973958574975532,38.67999649047851,79.768081335497,0.977244358306998,dinuc,0.4185082168219777,0.515904074319531
ABCT01000014.1,56762,56369,1,-1.882383017906105,0.0158317481935304,47.27000427246094,61.75175796007005,0.6668715681728532,dinuc,0.3213598551241864,0.3371916033177168
ACJM01000011.1,72232,72680,1,-3.7155517606778345,0.0636514779023751,59.3900032043457,58.12593436292749,0.5575264321330126,dinuc,0.318895247295144,0.3825467251975192
ADAQ01000008.1,236786,236326,1,-0.2801941838883759,0.1189297347315904,49.65999984741211,137.35777980245317,1.3140646564004292,dinuc,0.3805576508826427,0.4994873856142332
ADBS01000002.1,98637,99077,1,-4.568745556627068,0.0181666803918915,52.36000061035156,60.674286540520065,0.5944353102001816,dinuc,0.1843135709725491,0.2024802513644407
AE002098.2,1975310,1975382,1,1.6012348885113563,0.0829604262817496,4.1000001430511475,24.26823467364295,1.6354753725085505,dinuc,0.5630498787688424,0.646010305050592
AE003852.1,899828,899898,1,-0.0887548486416589,0.0613837460960666,7.450000286102295,14.506662158239472,0.905621440006714,dinuc,0.5532082633364251,0.6145920094324918
AE003853.1,184100,184520,1,-2.162190831280696,0.012742536698642,46.62999725341797,120.01129921161996,1.2584137386632614,dinuc,0.1433528599273711,0.1560953966260131
AE003853.1,885898,886318,1,-3.167143297101319,-0.0127256344675831,47.83000183105469,57.149528323011126,0.6486044758641608,dinuc,0.2962957228281103,0.2835700883605272
AE004091.2,1559151,1559260,1,-1.9408288437547896,0.0079375417753114,11.989998817443848,17.577916527828567,0.6960489719251048,dinuc,0.3939369153038532,0.4018744570791646
AE004091.2,3893111,3893002,1,-1.6774066937588308,0.0539280700174766,11.630000114440918,10.26238402831164,0.4374335343931778,dinuc,0.4248297145635605,0.4787577845810372
AE004091.2,4917616,4917502,1,-1.940055333906067,0.0164573481862533,18.96999740600586,12.221876298140549,0.4324151210529577,dinuc,0.4515881186773963,0.4680454668636497
AE004091.2,5847084,5847187,1,-0.1525889526494178,0.0212253907500665,15.209999084472656,5.8899567535722275,0.2599568854839457,dinuc,0.4224779213874628,0.4437033121375293
AE004969.1,1040064,1039950,1,-0.2443550171865706,0.082332805156239,11.1899995803833,29.405205675062724,1.0187539760279094,dinuc,0.4142571899878053,0.4965899951440444
AE005176.1,172821,172454,1,-5.803254400410989,0.0606062155695535,47.54000473022461,49.82246508651324,0.5853449687657833,dinuc,0.2410867219177051,0.3016929374872586
AE007869.2,109596,109822,1,-1.284946359040095,0.0111086655218863,23.920000076293945,26.413999920006457,0.5731686696734236,dinuc,0.5307842708622932,0.5418929363841796
AE010300.2,3440039,3440255,1,-0.539631704545464,0.1065477227324764,21.80000114440918,55.19030689503776,1.1620496024571692,dinuc,0.4573015551284392,0.5638492778609157
