record_id,seq_length,nupack_Tm,nupack_hill_coeff,nupack_amplitude,nupack_mean_exposure,nupack_MFE,nupack_max_stem_length,nupack_max_loop_length,nupack_gc_content,nupack_sd_pair_prob_10C,nupack_sd_pair_prob_80C,nupack_fit_status
sample_0,246,94.9994129914576,1.4230434367076321,0.25621433411752975,0.49052585992813497,-63.351844787597656,28,20,0.6869918699186992,0.47500784295802734,0.5042621464177295,ok
sample_1,266,43.530029013342265,15.71406457109711,0.04120027288977213,0.47472217687542523,-76.62223052978516,15,16,0.6090225563909775,0.4514287239975275,0.4875048454893723,ok
sample_2,174,50.14375060560613,4.665954957723968,0.22447624929760118,0.5619977636044151,-30.254283905029297,16,23,0.5114942528735632,0.5123515592190152,0.6046285176819359,ok
sample_3,245,52.70388359902495,2.445398244981274,0.36690273865275763,0.6356274168550119,-33.54762268066406,21,64,0.40816326530612246,0.5891110416202325,0.6731070616060221,ok
sample_4,417,58.82603423716665,4.510215180868161,0.23051135639153614,0.4633739681049415,-99.03285217285156,55,21,0.5731414868105515,0.426550551757487,0.49912978473294844,ok
sample_5,302,94.99999999975202,2.100257051133537,0.45732648408497717,0.4744681830949036,-62.01218795776367,31,17,0.5165562913907285,0.44525973313256556,0.5009867540843878,ok
sample_6,382,46.18662279216962,6.491038369324263,0.1115481358789347,0.5019030659510367,-84.28712463378906,40,11,0.5706806282722513,0.46691358174898273,0.5297212901429068,ok
sample_7,258,87.9921680948936,3.7507010202941986,0.5859037586876568,0.4578670795971975,-73.38029479980469,17,7,0.5813953488372093,0.4266423171530294,0.4907805644683009,ok
sample_8,257,52.692798475878085,7.441080526815423,0.3515723966739339,0.5948636723487074,-27.30695915222168,53,25,0.4591439688715953,0.5066999262651631,0.6862817145938023,ok
sample_9,255,51.27140144040279,5.835693522454535,0.303212926900977,0.6655961593128754,-23.870994567871094,16,26,0.3803921568627451,0.5912987940840215,0.7339608541140905,ok
sample_10,253,94.99994192566716,3.5342658362831965,0.4179630882119332,0.45297028047143817,-65.22099304199219,27,14,0.5573122529644269,0.43402644804381735,0.47278317755508387,ok
sample_11,242,52.449544939330295,8.616500145944192,0.09348177031876725,0.5200549878429517,-60.413787841796875,27,11,0.6942148760330579,0.49563131678444006,0.5474501257043036,ok
sample_12,259,44.70474585564566,3.5473935201361533,0.3501860934497063,0.8535543557279258,-5.161747932434082,11,158,0.3204633204633205,0.7869366988433478,0.9051808410526562,ok
sample_13,255,47.4699611628152,5.461858711287223,0.10557290599844465,0.4888440274480941,-62.08088684082031,28,16,0.5764705882352941,0.46067111490304613,0.5119046826018085,ok
sample_14,260,94.99999900849282,4.205119041805798,0.5505122479010127,0.41566342623063884,-92.39995574951172,34,15,0.7346153846153847,0.39652698649535206,0.43709224911760586,ok
sample_15,430,57.164913942549155,3.794129728763535,0.18805164473486535,0.48698419514443897,-94.53700256347656,49,30,0.5465116279069767,0.45713006516509624,0.5140624267677077,ok
